ABC_Admin_Tasks_Priorities_v3
Grupa;Zadatak;Prioritet;Tezina;Prijedlog
Graficki tim / Marketing;Izrada logotipa i brand knjige;Visok;Srednje;Marketing agencije, freelance dizajneri
Graficki tim / Marketing;Dizajn vizuala za drustvene mreze;Visok;Srednje;Digital marketing tim
Graficki tim / Marketing;Dizajn i foliranje vozila;Srednji;Tesko;Autograf servisi, reklamne agencije
Graficki tim / Marketing;Dizajn promotivnih artikala;Nizi;Lagano;Stamparije, promo firme
Graficki tim / Marketing;Dizajn tabli i natpisa za zgradu;Srednji;Srednje;Stamparije, firme za signalizaciju
Knjigovodja / Administracija;Ugovor i saradnja sa firmom za sigurnosne sisteme;Visok;Tesko;Knjigovodja, pravna sluzba
Knjigovodja / Administracija;Fakture i narudzbenice;Visok;Tesko;Racunovodstveni softver
Knjigovodja / Administracija;Nabavka oznaka i zakonskih tabli;Srednji;Lagano;Knjigovodja + stamparija
Knjigovodja / Administracija;Vodenje troskovnika;Nizi;Lagano;Administrativni asistent
IT / Tehnicka podrska;Postavljanje servera i cloud sistema;Visok;Tesko;IT firma (Lanaco, Prointer)
IT / Tehnicka podrska;Kreiranje poslovnih mailova;Visok;Srednje;Google Workspace / IT admin
IT / Tehnicka podrska;Instalacija sigurnosnih sistema;Visok;Tesko;Firme za sigurnosne sisteme
IT / Tehnicka podrska;Povezivanje mreze i Wi-Fi sistema;Srednji;Srednje;IT servis
IT / Tehnicka podrska;Backup i pristupni sistemi;Nizi;Lagano;IT administrator
Menadzment / Nabavka;Nabavka laptopa, printera i opreme;Visok;Srednje;Tehnomag, Imtec, Gigatron
Menadzment / Nabavka;Nabavka aparata za kafu i frizidera;Srednji;Lagano;Tehnomag, Domod
Menadzment / Nabavka;Nabavka potrosnog materijala;Nizi;Lagano;DM, Konzum, lokalni dobavljaci
Menadzment / Nabavka;Evidencija nabavke i troskova;Nizi;Lagano;Excel / Sheets template
Enterijer / Brendiranje prostora;Uredenje recepcije i zidova;Visok;Srednje;Enterijer dizajner
Enterijer / Brendiranje prostora;Nabavka i montaza namjestaja;Srednji;Srednje;Stolari, Forma Ideale
Enterijer / Brendiranje prostora;Dekorativni elementi i rasvjeta;Nizi;Lagano;Lokalni saloni
Enterijer / Brendiranje prostora;Postavljanje reklamnih tabli i oznaka;Nizi;Lagano;Stamparije, graficki tim
